DevelopmentRegion,RegionalDistrict,Municipality,Statistics,date,values
Mainland/Southwest,FRASER VALLEY,Abbotsford,FARM TOTAL (count),2016-10 (Oct),2
Mainland/Southwest,FRASER VALLEY,Abbotsford,FARM TOTAL (count),2016-11 (Nov),2
Mainland/Southwest,FRASER VALLEY,Abbotsford,FARM TOTAL (count),2016-12 (Dec),4
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Average ($ mean),2016-06 (Jun),"$535,859.05 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Average ($ mean),2016-07 (Jul),"$515,728.33 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Average ($ mean),2016-08 (Aug),"$568,429.43 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Average ($ mean),2016-09 (Sep),"$571,841.63 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Average ($ mean),2016-10 (Oct),"$502,887.22 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Average ($ mean),2016-11 (Nov),"$481,699.95 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Average ($ mean),2016-12 (Dec),"$481,253.66 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Median ($ median),2016-06 (Jun),"$475,000.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Median ($ median),2016-07 (Jul),"$490,000.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Median ($ median),2016-08 (Aug),"$525,000.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Median ($ median),2016-09 (Sep),"$475,000.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Median ($ median),2016-10 (Oct),"$450,000.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Median ($ median),2016-11 (Nov),"$403,850.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Median ($ median),2016-12 (Dec),"$285,000.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Sum ($ sum),2016-06 (Jun),"$344,557,368.30 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Sum ($ sum),2016-07 (Jul),"$284,682,039.97 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Sum ($ sum),2016-08 (Aug),"$289,330,577.97 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Sum ($ sum),2016-09 (Sep),"$229,308,492.33 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Sum ($ sum),2016-10 (Oct),"$178,022,074.26 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Sum ($ sum),2016-11 (Nov),"$170,521,782.37 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,FMV Sum ($ sum),2016-12 (Dec),"$137,638,545.73 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,OTHER/UNKNOWN TOTAL (count),2016-06 (Jun),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,OTHER/UNKNOWN TOTAL (count),2016-07 (Jul),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,OTHER/UNKNOWN TOTAL (count),2016-08 (Aug),3
Mainland/Southwest,FRASER VALLEY,Abbotsford,OTHER/UNKNOWN TOTAL (count),2016-09 (Sep),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,OTHER/UNKNOWN TOTAL (count),2016-10 (Oct),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,OTHER/UNKNOWN TOTAL (count),2016-11 (Nov),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,OTHER/UNKNOWN TOTAL (count),2016-12 (Dec),2
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid ($ sum),2016-06 (Jun),"$5,673,001.10 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid ($ sum),2016-07 (Jul),"$4,472,171.17 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid ($ sum),2016-08 (Aug),"$4,734,476.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid ($ sum),2016-09 (Sep),"$3,867,422.93 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid ($ sum),2016-10 (Oct),"$2,762,775.40 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid ($ sum),2016-11 (Nov),"$2,647,531.69 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid ($ sum),2016-12 (Dec),"$2,160,593.78 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid Median ($ median),2016-06 (Jun),"$7,220.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid Median ($ median),2016-07 (Jul),"$7,610.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid Median ($ median),2016-08 (Aug),"$8,000.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid Median ($ median),2016-09 (Sep),"$7,400.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid Median ($ median),2016-10 (Oct),"$6,100.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid Median ($ median),2016-11 (Nov),"$5,288.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,PTT Paid Median ($ median),2016-12 (Dec),"$3,060.00 "
Mainland/Southwest,FRASER VALLEY,Abbotsford,RECREATIONAL TOTAL (count),2016-06 (Jun),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RECREATIONAL TOTAL (count),2016-07 (Jul),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RECREATIONAL TOTAL (count),2016-08 (Aug),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RECREATIONAL TOTAL (count),2016-09 (Sep),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RECREATIONAL TOTAL (count),2016-10 (Oct),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RECREATIONAL TOTAL (count),2016-11 (Nov),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RECREATIONAL TOTAL (count),2016-12 (Dec),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - ACREAGE (count),2016-06 (Jun),15
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - ACREAGE (count),2016-07 (Jul),9
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - ACREAGE (count),2016-08 (Aug),13
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - ACREAGE (count),2016-09 (Sep),5
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - ACREAGE (count),2016-10 (Oct),7
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - ACREAGE (count),2016-11 (Nov),5
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - ACREAGE (count),2016-12 (Dec),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - COMMERCE (count),2016-06 (Jun),6
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - COMMERCE (count),2016-07 (Jul),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - COMMERCE (count),2016-08 (Aug),3
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - COMMERCE (count),2016-09 (Sep),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - COMMERCE (count),2016-10 (Oct),5
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - COMMERCE (count),2016-11 (Nov),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - COMMERCE (count),2016-12 (Dec),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - FARM (count),2016-06 (Jun),11
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - FARM (count),2016-07 (Jul),8
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - FARM (count),2016-08 (Aug),9
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - FARM (count),2016-09 (Sep),12
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - FARM (count),2016-10 (Oct),7
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - FARM (count),2016-11 (Nov),2
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - FARM (count),2016-12 (Dec),6
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - MULTI-FAMILY (count),2016-06 (Jun),2
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - MULTI-FAMILY (count),2016-07 (Jul),3
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - MULTI-FAMILY (count),2016-08 (Aug),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - MULTI-FAMILY (count),2016-09 (Sep),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - MULTI-FAMILY (count),2016-10 (Oct),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - MULTI-FAMILY (count),2016-11 (Nov),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - MULTI-FAMILY (count),2016-12 (Dec),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - OTHER (count),2016-06 (Jun),29
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - OTHER (count),2016-07 (Jul),33
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - OTHER (count),2016-08 (Aug),21
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - OTHER (count),2016-09 (Sep),27
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - OTHER (count),2016-10 (Oct),77
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - OTHER (count),2016-11 (Nov),39
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - OTHER (count),2016-12 (Dec),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),2016-06 (Jun),373
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),2016-07 (Jul),291
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),2016-08 (Aug),265
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),2016-09 (Sep),189
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),2016-10 (Oct),131
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),2016-11 (Nov),146
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count),2016-12 (Dec),103
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),2016-06 (Jun),2
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),2016-07 (Jul),7
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),2016-08 (Aug),1
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),2016-09 (Sep),NA
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),2016-10 (Oct),3
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),2016-11 (Nov),7
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count),2016-12 (Dec),17
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA RESIDENTIAL (count),2016-06 (Jun),197
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA RESIDENTIAL (count),2016-07 (Jul),190
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA RESIDENTIAL (count),2016-08 (Aug),182
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA RESIDENTIAL (count),2016-09 (Sep),153
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA RESIDENTIAL (count),2016-10 (Oct),118
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA RESIDENTIAL (count),2016-11 (Nov),147
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL - STRATA RESIDENTIAL (count),2016-12 (Dec),143
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL TOTAL (count),2016-06 (Jun),635
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL TOTAL (count),2016-07 (Jul),541
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL TOTAL (count),2016-08 (Aug),494
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL TOTAL (count),2016-09 (Sep),387
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL TOTAL (count),2016-10 (Oct),348
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL TOTAL (count),2016-11 (Nov),347
Mainland/Southwest,FRASER VALLEY,Abbotsford,RESIDENTIAL TOTAL (count),2016-12 (Dec),272
Mainland/Southwest,FRASER VALLEY,Abbotsford,Total Market Transactions (count),2016-06 (Jun),643
Mainland/Southwest,FRASER VALLEY,Abbotsford,Total Market Transactions (count),2016-07 (Jul),552
Mainland/Southwest,FRASER VALLEY,Abbotsford,Total Market Transactions (count),2016-08 (Aug),509
Mainland/Southwest,FRASER VALLEY,Abbotsford,Total Market Transactions (count),2016-09 (Sep),401
Mainland/Southwest,FRASER VALLEY,Abbotsford,Total Market Transactions (count),2016-10 (Oct),354
Mainland/Southwest,FRASER VALLEY,Abbotsford,Total Market Transactions (count),2016-11 (Nov),354
Mainland/Southwest,FRASER VALLEY,Abbotsford,Total Market Transactions (count),2016-12 (Dec),286
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - COMMERCE (count),2016-06 (Jun),2
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - COMMERCE (count),2016-07 (Jul),4
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - COMMERCE (count),2016-08 (Aug),4
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - COMMERCE (count),2016-09 (Sep),3
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - COMMERCE (count),2016-10 (Oct),2
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - COMMERCE (count),2016-11 (Nov),5
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - COMMERCE (count),2016-12 (Dec),3
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - OTHER (count),2016-06 (Jun),1
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - OTHER (count),2016-07 (Jul),2
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - OTHER (count),2016-08 (Aug),2
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - OTHER (count),2016-09 (Sep),2
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - OTHER (count),2016-10 (Oct),1
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - OTHER (count),2016-11 (Nov),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - OTHER (count),2016-12 (Dec),2
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-06 (Jun),1
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-07 (Jul),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-08 (Aug),1
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-09 (Sep),1
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-10 (Oct),2
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-11 (Nov),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL - STRATA NON-RESIDENTIAL (count),2016-12 (Dec),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL TOTAL (count),2016-06 (Jun),4
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL TOTAL (count),2016-07 (Jul),6
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL TOTAL (count),2016-08 (Aug),7
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL TOTAL (count),2016-09 (Sep),6
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL TOTAL (count),2016-10 (Oct),5
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL TOTAL (count),2016-11 (Nov),5
Mainland/Southwest,FRASER VALLEY,Chilliwack,COMMERCIAL TOTAL (count),2016-12 (Dec),5
Mainland/Southwest,FRASER VALLEY,Chilliwack,FARM TOTAL (count),2016-06 (Jun),2
Mainland/Southwest,FRASER VALLEY,Chilliwack,FARM TOTAL (count),2016-07 (Jul),2
Mainland/Southwest,FRASER VALLEY,Chilliwack,FARM TOTAL (count),2016-08 (Aug),4
Mainland/Southwest,FRASER VALLEY,Chilliwack,FARM TOTAL (count),2016-09 (Sep),4
Mainland/Southwest,FRASER VALLEY,Chilliwack,FARM TOTAL (count),2016-10 (Oct),20
Mainland/Southwest,FRASER VALLEY,Chilliwack,FARM TOTAL (count),2016-11 (Nov),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,FARM TOTAL (count),2016-12 (Dec),3
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Average ($ mean),2016-06 (Jun),"$436,192.99 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Average ($ mean),2016-07 (Jul),"$431,822.63 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Average ($ mean),2016-08 (Aug),"$487,203.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Average ($ mean),2016-09 (Sep),"$416,804.60 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Average ($ mean),2016-10 (Oct),"$420,910.68 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Average ($ mean),2016-11 (Nov),"$470,152.77 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Average ($ mean),2016-12 (Dec),"$483,896.90 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Median ($ median),2016-06 (Jun),"$387,905.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Median ($ median),2016-07 (Jul),"$389,950.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Median ($ median),2016-08 (Aug),"$390,000.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Median ($ median),2016-09 (Sep),"$350,000.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Median ($ median),2016-10 (Oct),"$354,500.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Median ($ median),2016-11 (Nov),"$384,900.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Median ($ median),2016-12 (Dec),"$394,900.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Sum ($ sum),2016-06 (Jun),"$216,351,720.60 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Sum ($ sum),2016-07 (Jul),"$211,593,089.78 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Sum ($ sum),2016-08 (Aug),"$246,037,513.66 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Sum ($ sum),2016-09 (Sep),"$179,225,977.19 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Sum ($ sum),2016-10 (Oct),"$154,053,309.13 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Sum ($ sum),2016-11 (Nov),"$152,799,651.49 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,FMV Sum ($ sum),2016-12 (Dec),"$111,780,183.87 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,OTHER/UNKNOWN TOTAL (count),2016-06 (Jun),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,OTHER/UNKNOWN TOTAL (count),2016-07 (Jul),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,OTHER/UNKNOWN TOTAL (count),2016-08 (Aug),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,OTHER/UNKNOWN TOTAL (count),2016-09 (Sep),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,OTHER/UNKNOWN TOTAL (count),2016-10 (Oct),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,OTHER/UNKNOWN TOTAL (count),2016-11 (Nov),1
Mainland/Southwest,FRASER VALLEY,Chilliwack,OTHER/UNKNOWN TOTAL (count),2016-12 (Dec),1
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid ($ sum),2016-06 (Jun),"$3,118,134.67 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid ($ sum),2016-07 (Jul),"$3,036,665.80 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid ($ sum),2016-08 (Aug),"$3,953,418.94 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid ($ sum),2016-09 (Sep),"$2,579,680.02 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid ($ sum),2016-10 (Oct),"$2,210,366.08 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid ($ sum),2016-11 (Nov),"$2,386,482.88 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid ($ sum),2016-12 (Dec),"$1,693,771.25 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid Median ($ median),2016-06 (Jun),"$5,000.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid Median ($ median),2016-07 (Jul),"$5,400.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid Median ($ median),2016-08 (Aug),"$5,398.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid Median ($ median),2016-09 (Sep),"$4,140.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid Median ($ median),2016-10 (Oct),"$3,928.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid Median ($ median),2016-11 (Nov),"$4,740.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,PTT Paid Median ($ median),2016-12 (Dec),"$4,600.00 "
Mainland/Southwest,FRASER VALLEY,Chilliwack,RECREATIONAL TOTAL (count),2016-06 (Jun),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,RECREATIONAL TOTAL (count),2016-07 (Jul),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,RECREATIONAL TOTAL (count),2016-08 (Aug),1
Mainland/Southwest,FRASER VALLEY,Chilliwack,RECREATIONAL TOTAL (count),2016-09 (Sep),NA
Mainland/Southwest,FRASER VALLEY,Chilliwack,RECREATIONAL TOTAL (count),2016-10 (Oct),NA
